top.genre,nrgy,dnce,live,acous
'neo mellow',89,67,8,19
'detroit hip hop',93,75,52,24
'dance pop',84,76,29,10
'dance pop',92,70,8,0
pop,84,64,9,2
'canadian pop',86,73,11,4
'dance pop',78,75,4,0
'dance pop',76,52,12,7
'hip pop',37,48,12,74
'barbadian pop',72,79,7,13
'dance pop',87,62,6,3
pop,83,62,10,33
'dance pop',82,77,70,18
'dance pop',83,83,11,1
'dance pop',84,44,12,1
'atl hip hop',75,78,36,20
'dance pop',61,72,11,5
'dance pop',81,82,60,7
'dance pop',80,63,36,0
'dance pop',61,83,9,1
'dance pop',63,80,32,0
'australian pop',68,44,6,1
'dance pop',68,73,9,0
pop,81,70,22,0
'dance pop',95,53,28,26
'indie pop',83,48,38,0
'dance pop',90,61,5,2
'dance pop',94,65,6,2
'dance pop',80,72,13,2
'dance pop',75,79,18,0
'dance pop',71,70,14,5
'dance pop',89,68,36,1
'dance pop',84,75,42,8
'dance pop',52,60,31,18
'hip pop',82,50,13,16
'dance pop',63,81,13,8
'dance pop',41,29,13,83
'australian pop',91,65,37,1
'dance pop',91,72,43,2
'art pop',81,50,12,3
'dance pop',85,51,12,47
'hip pop',41,71,10,4
'barbadian pop',75,31,65,1
'colombian pop',87,80,9,19
'dance pop',39,23,14,85
'dance pop',81,76,56,0
'dance pop',95,64,18,6
'atl hip hop',86,66,8,3
'atl hip hop',86,45,26,7
'dance pop',90,67,8,0
'big room',98,67,10,1
'dance pop',41,42,11,31
'british soul',33,56,10,89
'dance pop',94,67,30,19
pop,84,64,9,2
'british soul',76,73,5,13
'dance pop',90,73,37,0
pop,76,72,32,1
'dance pop',75,65,60,8
pop,56,71,12,15
'dance pop',78,69,16,8
'canadian pop',93,58,14,0
'dance pop',83,59,33,0
'chicago rap',69,63,67,0
pop,83,62,10,33
'dance pop',65,55,9,14
'dance pop',74,75,27,2
'dance pop',82,74,12,1
'australian pop',83,64,27,3
'dance pop',69,63,13,8
'dance pop',63,66,11,19
'dance pop',78,73,7,11
'barbadian pop',79,69,8,23
'dance pop',88,71,9,0
'dance pop',61,61,16,23
'dance pop',86,71,19,10
'dance pop',77,58,11,0
'dance pop',87,62,37,2
'dance pop',71,69,20,2
'dance pop',55,70,33,0
'dance pop',73,75,7,0
'dance pop',70,52,9,9
'dance pop',93,66,27,0
'dance pop',89,65,12,3
'dance pop',88,70,13,0
'barbadian pop',77,73,11,3
'dance pop',88,61,46,0
'dance pop',38,30,7,38
'dance pop',72,65,24,1
'dance pop',75,59,8,2
'dance pop',81,71,37,13
'barbadian pop',91,58,29,2
'barbadian pop',81,82,5,5
'dance pop',95,64,18,6
'dance pop',35,35,12,73
'atl hip hop',86,45,26,7
'acoustic pop',38,30,11,91
'dance pop',74,77,40,6
'dance pop',64,68,12,0
'dance pop',88,73,32,2
'dance pop',88,50,22,39
'dance pop',81,65,67,0
'dance pop',83,64,11,14
'dance pop',72,80,19,56
'dance pop',79,60,13,7
pop,70,73,31,5
'permanent wave',59,45,8,5
pop,75,74,29,2
'boy band',79,73,6,1
pop,47,62,3,0
'canadian pop',58,78,11,1
'dance pop',68,86,7,8
'british soul',68,61,13,0
pop,68,63,12,1
'dance pop',94,56,11,5
'dance pop',63,67,9,0
'dance pop',72,75,25,14
pop,82,72,8,6
pop,87,56,37,2
'boy band',85,72,11,3
'canadian pop',84,60,7,0
'dance pop',86,67,34,1
'baroque pop',74,67,9,2
'canadian pop',55,72,13,4
'dance pop',92,68,7,0
'australian pop',55,76,4,1
'barbadian pop',85,72,22,0
'dance pop',68,51,39,7
'dance pop',80,69,16,0
'dance pop',86,79,10,2
'dance pop',84,59,16,0
'dance pop',80,68,13,3
'baroque pop',64,38,8,2
'barbadian pop',71,56,11,0
'dance pop',96,72,38,1
'barbadian pop',72,70,13,50
'dance pop',80,65,27,3
pop,84,58,8,34
'dance pop',92,60,25,0
'dance pop',81,51,21,0
'big room',78,53,16,0
'boy band',66,60,12,23
'dance pop',55,78,13,35
'celtic rock',87,42,12,7
'dance pop',77,55,35,0
'dance pop',62,61,37,1
'big room',84,61,12,11
electro,81,79,10,4
'dance pop',42,53,11,41
pop,70,38,11,14
'dance pop',60,85,8,0
'dance pop',79,50,24,7
pop,68,63,12,1
'dance pop',70,71,22,0
complextro,78,51,7,4
'art pop',81,57,13,2
'dance pop',92,54,12,13
'indie pop',92,47,31,0
'canadian hip hop',41,77,7,0
'boy band',88,65,8,2
'boy band',93,63,32,2
'dance pop',93,57,6,20
electro,66,83,8,8
'dance pop',82,63,7,16
'acoustic pop',84,55,4,1
'dance pop',93,63,10,3
'dance pop',76,67,34,4
pop,52,56,10,23
'dance pop',68,66,37,25
'dance pop',53,78,5,6
'dance pop',75,52,14,26
'dance pop',88,65,8,29
'dance pop',60,80,16,10
'dance pop',61,80,7,0
'candy pop',91,71,15,1
'dance pop',87,72,66,4
pop,67,66,26,0
pop,78,68,12,13
'dance pop',62,76,9,1
'dance pop',74,85,55,0
'boy band',82,56,10,1
'canadian pop',96,47,34,1
'canadian pop',52,56,34,14
'dance pop',60,58,43,14
'dance pop',80,67,11,9
'dance pop',86,58,32,0
'dance pop',23,45,11,92
'hip pop',81,55,15,9
'dance pop',68,61,43,1
'dance pop',79,55,10,1
'dance pop',73,69,33,1
'boy band',94,55,23,1
'permanent wave',45,28,11,63
'dance pop',78,63,4,0
'dance pop',66,59,64,4
'dance pop',78,67,11,3
'dance pop',78,70,14,43
'dance pop',88,62,35,1
'boy band',98,68,28,7
'dance pop',76,68,31,29
'dance pop',95,36,37,9
'dance pop',75,72,13,4
'dance pop',57,69,11,2
'dance pop',79,60,36,4
'dance pop',70,77,6,1
'barbadian pop',74,53,24,0
'dance pop',83,67,16,10
'alaska indie',34,51,12,23
'dance pop',84,71,21,16
'atl hip hop',78,65,12,13
'neo mellow',26,42,13,92
pop,42,42,11,59
'dance pop',86,60,14,2
'dance pop',82,65,9,22
pop,76,77,31,4
pop,80,65,33,6
'dance pop',59,65,17,0
'big room',78,55,8,3
pop,71,74,6,2
pop,69,87,32,4
folk-pop,54,51,10,39
'dance pop',81,66,16,2
metropopolis,72,68,27,8
'art pop',58,69,31,17
pop,89,50,10,0
house,73,50,9,2
'dance pop',66,58,11,11
pop,72,78,7,13
'dance pop',78,56,11,31
'boy band',95,49,33,0
'australian hip hop',72,91,5,9
'dance pop',65,76,31,3
pop,54,72,10,45
'dance pop',49,44,11,13
pop,75,56,21,46
'dance pop',62,70,16,8
'dance pop',93,72,8,17
'dance pop',64,69,15,2
'dance pop',92,71,27,0
'dance pop',62,76,9,1
electropop,92,79,8,1
'dance pop',44,41,31,3
